title;artist;genre;power;key;bpm
Send Me;Soom T;Classical, Vocal, Chorus, Chill;2;8m;102.126396
A Light Which Fails to Dim;Soom T;Classical, Vocal, Chorus, Chill;2;9m;89.741585
Flame of Fire;Soom T;Classical, Vocal, Chorus, Chill;2;10m;86.000557
Pearl of Great Price;Soom T;Classical, Vocal, Chorus, Chill;2;1m;98.999603
God Himself Shall Be With You;Soom T;Classical, Vocal, Chorus, Chill;2;8d;57.494358
The Beginning and the End;Soom T;Classical, Vocal, Chorus, Chill;2;9d;58.592995
Valhalla;Alpha Steppa, JahYu;Dub, Instru, Steppa;3;;142.000732
Be Water;Alpha Steppa, JahYu;Dub, Vocal, Sample, ElectroDub, Steppa;3;;139.999893
Steam Roller;MAT FX;Dub, Instru, ElectroDub, Steppa;4;;79.999512
Enter;Benzine;Dub, Instru, ElectroDub, Steppa;3;10m;139.999847
C6H6;Benzine;Dub, Instru, ElectroDub, Steppa;3;12m;129.999985
Chaleurs Enivrantes;Benzine;Dub, Instru, Digital, Chill;1;5m;59.998192
Oasis;Benzine;Dub, Instru, Digital, Steppa, Chill;2;8m;133.994614
Dernières Gouttes;Benzine;Dub, Instru, Digital, Steppa, Chill;2;2m;119.994492
Fufu Lala (feat. Charlie P);OBF, Charlie P;Dub, Vocal, ElectroDub;3;;73.499916
Fufu Dub;OBF;Dub, Instru, ElectroDub;3;;73.500023
Rebel Daawtaz (Remix) (feat. Aza Lineage);OBF, Aza Lineage;Dub, Vocal, ElectroDub;3;;64.500305
Hustler (feat. Charlie P);OBF, Charlie P;Dub, Vocal, ElectroDub;3;;64.499947
Rebel Hustler Dub;OBF;Dub, Instru, ElectroDub;3;;64.499931
Origins;Awoga;Future Dub, ElectroDub, Instru, Melodic;2;8m;67.499947
Wake up;Awoga;Future Dub, ElectroDub, Instru;3;8m;80.000053
Horizon;Awoga;Future Dub, ElectroDub, Instru, Melodic;2;1m;70.000099
Mirage;Awoga;Future Dub, ElectroDub, Instru, Melodic, Steppa, Progressive;3;11m;64.999786
Waves;Awoga;Future Dub, Vocal, ElectroDub, Melodic;2;10m;63.0
Chapters (Awoga remix);Rakoon, Awoga;Future Dub, ElectroDub, Instru;2;3m;134.000748
Breathe Out;Kandee, Robzie;Dub, Vocal, Chill;2;12m;57.499561
Reset;Kanka;Dub, Instru, Digital;3;3m;149.999344
Sweet music;Kanka;Dub, Instru, Digital;3;11m;128.000351
Everywhere ft Nina Girassois;Kanka, Nina Girassois;Dub, Vocal, Digital;3;1m;75.000008
Yes my friends;Kanka;Dub, Instru, Digital, Steppa;3;1m;135.0
Spicy ft Konyx;Kanka, Konyx;Dub, Instru, Digital;3;8m;79.000572
The lion is real ft Joseph Lalibela;Kanka, Joseph Lalibela;Dub, Vocal, Digital;3;7m;129.999908
Blue dub;Kanka;Dub, Instru, Digital;3;2m;77.499931
Mountains ft Woodub;Kanka, Woodub;Dub, Instru, Digital, Steppa;3;11m;144.001083
Clic Clac;Kanka;Dub, Instru, Digital;3;11m;71.499626
Love them ft Yehoud I;Kanka, Yehoud I;Dub, Vocal, Digital;3;8m;134.999878
