0;1;2;3;4;5;6;7;8
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Steppa;Digital;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Instru;Digital;;;;;;
Dub;Instru;Digital;Uptempo;;;;;
Dub;Vocal;Steppa;;;;;;
Dub;Instru;Sample;Digital;Electrodub;;;;
Dub;Vocal;Digital;FR;;;;;
Dub;Vocal;FR;Digital;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Dubstep;Steppa;;;;
Dub;Instru;Digital;;;;;;
Dub;Steppa;Instru;Chorus;Melodic;;;;
Dub;Vocal;Heavy;Digital;Reggae;Dubadub;;;
Dub;Vocal;Digital;;;;;;
Dub;Steppa;Vocal;;;;;;
Dub;instru;Digital;Heavy;;;;;
Dub;Instru;Steppa;Digital;;;;;
Dub;Instru;Digital;Steppa;Chill;;;;
Dub;Vocal;Digital;Heavy;Steppa;;;;
Dub;Digital;Steppa;Sample;Heavy;;;;
Dub;Vocal;Digital;;;;;;
Reggae;Vocal;Digital;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Dubadub;;;;;
Dub;Instru;Digital;;;;;;
Dub;Instru;Digital;;;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Vocal;OS;;;;;;
Dub;Vocal;OS;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Instru;Digital;ElectroDub;;;;;
Dub;Vocal;Digital;ElectroDub;;;;;
Dub;Instru;Digital;Steppa;Electrodub;;;;
Dub;Reggae;Vocal;Dubadub;;;;;
Dub;Instru;Heavy;Digital;;;;;
Dub;Vocal;;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Instru;Digital;;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;ElectroDub;Uptempo;;;;
Dub;Vocal;Digital;ElectroDub;DnB;Jungle;;;
